City,Country,Population,Area,country population,country area,country density,growth rate,2009 growth rate,2005-2010 growth rate,2010-2015 growth rate,2015-2020 growth rate
Moçâmedes,Angola,292500,8916.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Negage,Angola,137500,,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
N'dalatando,Angola,168800,1030.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Ondjiva,Angola,187900,2100.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Saurimo,Angola,442400,,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Soyo,Angola,266900,2253.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Sumbe,Angola,279900,4638.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Uíge,Angola,616600,1188.0,34503774.0,1246700.0,28.0,3.34,3.12,3.57,3.52,3.28
Bahía Blanca,Argentina,308900,2247.0,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Bariloche,Argentina,159000,220.27,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Buenos Aires,Argentina,13879700,203.0,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Catamarca,Argentina,213200,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Comodoro Rivadavia,Argentina,218600,548.2,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Concordia,Argentina,162000,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Córdoba,Argentina,1525500,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Corrientes,Argentina,386400,500.0,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Formosa,Argentina,260800,36197.0,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
La Plata,Argentina,843900,27.0,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
La Rioja,Argentina,207100,5045.0,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Mar del Plata,Argentina,641100,79.48,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Mendoza,Argentina,1094200,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Neuquén,Argentina,314500,128.0,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Paraná,Argentina,276100,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Posadas,Argentina,358800,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Rawson-Trelew,Argentina,139700,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Resistencia,Argentina,412400,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Río Cuarto,Argentina,173800,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Río Gallegos,Argentina,112500,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Rosario,Argentina,1444400,178.69,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Salta,Argentina,634600,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
San Juan,Argentina,520400,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
San Luis,Argentina,221400,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
San Nicolás,Argentina,190400,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
San Salvador de Jujuy,Argentina,341600,19.0,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Santa Fé,Argentina,534300,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Santa Rosa,Argentina,127100,,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Santiago del Estero,Argentina,410100,2116.0,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Tucumán,Argentina,873900,22524.0,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Ushuaia,Argentina,140000,23.0,45276780.0,2780400.0,16.0,0.8,0.88,1.04,1.04,0.94
Gyumri,Armenia,117700,54.0,2790974.0,29743.0,94.0,-0.4,0.17,-0.71,0.27,0.15
Yerevan,Armenia,1073700,223.0,2790974.0,29743.0,94.0,-0.4,0.17,-0.71,0.27,0.15
Adelaide,Australia,1288700,3259.8,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Brisbane,Australia,2209500,15842.0,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Cairns,Australia,148000,254.3,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Canberra,Australia,424700,814.2,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Central Coast,Australia,325100,,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Darwin,Australia,123400,,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Geelong,Australia,187400,1329.0,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Gold Coast,Australia,624900,,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Hobart,Australia,209300,1695.5,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Melbourne,Australia,4353500,9993.0,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Newcastle,Australia,434500,,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Perth,Australia,1958900,6417.9,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Sunshine Coast,Australia,302100,,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Sydney,Australia,4526500,12367.7,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Toowoomba,Australia,114600,,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Townsville,Australia,180300,693.3,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Wollongong,Australia,292400,572.2,25921089.0,7692024.0,3.0,1.19,1.6,1.78,1.46,1.3
Graz,Austria,280300,127.57,8922082.0,83871.0,106.0,0.31,0.46,0.38,0.53,0.24
Innsbruck,Austria,131000,104.91,8922082.0,83871.0,106.0,0.31,0.46,0.38,0.53,0.24
Linz,Austria,200800,95.99,8922082.0,83871.0,106.0,0.31,0.46,0.38,0.53,0.24
Salzburg,Austria,150900,65.65,8922082.0,83871.0,106.0,0.31,0.46,0.38,0.53,0.24
Wien,Austria,1840200,414.78,8922082.0,83871.0,106.0,0.31,0.46,0.38,0.53,0.24
Baku,Azerbaijan,2293100,2140.0,10312992.0,86600.0,119.0,0.63,1.35,1.13,1.26,0.98
Ganja,Azerbaijan,335600,,10312992.0,86600.0,119.0,0.63,1.35,1.13,1.26,0.98
Sumgayit,Azerbaijan,358600,90.0,10312992.0,86600.0,119.0,0.63,1.35,1.13,1.26,0.98
Nassau,Bahamas,274400,,407906.0,13943.0,29.0,0.8,1.52,1.83,1.39,1.01
Manama,Bahrain,200000,30.0,1463265.0,785.0,1864.0,0.85,1.92,6.67,2.01,4.26
